iter	Passed	Remaining
0	1	132
1	2	118
2	3	114
3	4	105
4	5	101
5	6	100
6	7	99
7	8	97
8	9	96
9	10	94
10	11	92
11	12	92
12	13	91
13	14	90
14	15	89
15	16	88
16	17	87
17	18	86
18	19	85
19	20	83
20	22	82
21	23	81
22	24	81
23	25	80
24	26	78
25	27	77
26	28	76
27	29	74
28	30	73
29	31	72
30	32	71
31	33	70
32	34	69
33	35	68
34	36	67
35	37	66
36	38	65
37	39	64
38	40	63
39	41	62
40	42	61
41	43	59
42	44	58
43	45	57
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	55	48
53	56	47
54	56	46
55	57	45
56	58	44
57	59	43
58	60	42
59	61	41
60	62	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	19
81	86	18
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	92	12
88	93	11
89	94	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	102	2
98	103	1
99	104	0
