iter	Passed	Remaining
0	158	158412
1	159	79805
2	161	53769
3	162	40583
4	164	32725
5	165	27460
6	166	23676
7	168	20844
8	169	18637
9	170	16875
10	171	15451
11	173	14266
12	175	13322
13	177	12498
14	178	11737
15	179	11059
16	180	10460
17	181	9927
18	183	9455
19	184	9031
20	185	8644
21	186	8306
22	188	8022
23	190	7742
24	192	7508
25	193	7259
26	194	7026
27	196	6810
28	197	6613
29	198	6421
30	199	6241
31	200	6079
32	202	5932
33	204	5798
34	205	5676
35	207	5547
36	208	5420
37	209	5297
38	210	5184
39	211	5076
40	212	4974
41	213	4875
42	214	4782
43	216	4701
44	218	4626
45	219	4551
46	220	4476
47	221	4399
48	223	4328
49	224	4259
50	225	4191
51	226	4125
52	227	4062
53	228	4003
54	229	3945
55	230	3893
56	232	3848
57	234	3804
58	235	3753
59	236	3707
60	237	3661
61	238	3615
62	240	3571
63	241	3527
64	242	3484
65	243	3442
66	244	3401
67	245	3368
68	247	3339
69	249	3308
70	250	3274
71	251	3239
72	252	3205
73	253	3173
74	254	3141
75	255	3110
76	256	3079
77	257	3049
78	259	3021
79	260	2996
80	262	2974
81	263	2952
82	264	2921
83	265	2896
84	266	2871
85	267	2846
86	268	2822
87	270	2799
88	271	2776
89	272	2753
90	273	2730
91	274	2710
92	276	2697
93	278	2685
94	280	2668
95	281	2648
96	282	2629
97	283	2610
98	284	2591
99	285	2573
100	287	2554
101	288	2536
102	289	2519
103	290	2506
104	292	2495
105	294	2481
106	295	2465
107	296	2449
108	297	2433
109	298	2417
110	299	2402
111	300	2385
112	302	2370
113	303	2356
114	304	2342
115	306	2334
116	307	2323
117	308	2309
118	310	2295
119	311	2281
120	312	2268
121	313	2253
122	314	2240
123	315	2228
124	316	2215
125	317	2203
126	318	2190
127	319	2179
128	321	2172
129	323	2162
130	324	2151
131	325	2139
132	326	2128
133	327	2117
134	328	2106
135	329	2095
136	330	2084
137	332	2074
138	333	2064
139	334	2055
140	336	2051
141	337	2040
142	338	2031
143	340	2022
144	341	2012
145	342	2002
146	343	1993
147	344	1984
148	346	1976
149	347	1967
150	348	1959
151	350	1954
152	352	1951
153	353	1944
154	354	1935
155	356	1928
156	357	1920
157	358	1912
158	360	1904
159	361	1896
160	362	1886
161	363	1879
162	364	1872
163	366	1868
164	367	1862
165	369	1857
166	370	1850
167	372	1842
168	373	1835
169	374	1827
170	375	1821
171	376	1814
172	378	1808
173	380	1804
174	382	1801
175	384	1799
176	385	1794
177	387	1788
178	388	1782
179	390	1777
180	391	1772
181	393	1766
182	394	1761
183	397	1760
184	399	1761
185	401	1756
186	402	1750
187	403	1744
188	405	1738
189	406	1732
190	407	1726
191	409	1721
192	410	1717
193	412	1714
194	414	1711
195	415	1705
196	417	1700
197	419	1698
198	420	1691
199	421	1686
200	422	1681
201	424	1676
202	426	1674
203	428	1671
204	429	1666
205	431	1661
206	432	1655
207	433	1650
208	434	1645
209	435	1639
210	436	1633
211	438	1628
212	439	1624
213	446	1640
214	447	1634
215	449	1629
216	450	1624
217	451	1619
218	452	1613
219	454	1610
220	456	1609
221	458	1605
222	460	1604
223	461	1599
224	462	1594
225	464	1589
226	465	1584
227	466	1579
228	467	1574
229	469	1570
230	470	1567
231	472	1563
232	474	1561
233	475	1556
234	476	1552
235	477	1547
236	479	1542
237	480	1537
238	481	1532
239	482	1527
240	483	1522
241	484	1519
242	486	1516
243	488	1512
244	489	1508
245	490	1503
246	491	1499
247	493	1495
248	494	1490
249	495	1486
250	496	1481
251	497	1477
252	499	1475
253	501	1474
254	503	1472
255	505	1469
256	506	1464
257	507	1460
258	509	1456
259	510	1452
260	511	1448
261	512	1444
262	514	1440
263	516	1439
264	518	1437
265	520	1435
266	521	1432
267	523	1429
268	524	1425
269	525	1421
270	527	1417
271	528	1414
272	529	1410
273	531	1408
274	533	1405
275	535	1403
276	537	1401
277	538	1398
278	539	1395
279	541	1391
280	542	1387
281	543	1384
282	545	1381
283	547	1379
284	549	1378
285	550	1375
286	551	1371
287	553	1367
288	554	1363
289	555	1360
290	556	1356
291	557	1352
292	559	1349
293	561	1347
294	564	1348
295	566	1346
296	567	1343
297	568	1339
298	570	1336
299	571	1332
300	572	1329
301	573	1325
302	575	1323
303	577	1322
304	580	1322
305	581	1318
306	582	1315
307	584	1312
308	585	1308
309	586	1305
310	587	1302
311	589	1300
312	591	1297
313	592	1295
314	594	1291
315	595	1289
316	596	1285
317	598	1282
318	599	1279
319	600	1275
320	601	1272
321	602	1269
322	604	1266
323	606	1265
324	608	1262
325	609	1260
326	611	1257
327	612	1254
328	613	1251
329	615	1248
330	616	1245
331	618	1243
332	620	1242
333	623	1242
334	624	1240
335	626	1237
336	627	1234
337	628	1231
338	630	1228
339	631	1225
340	632	1222
341	634	1220
342	635	1218
343	637	1215
344	639	1214
345	640	1211
346	642	1208
347	643	1205
348	644	1202
349	646	1199
350	647	1196
351	649	1195
352	651	1194
353	652	1191
354	654	1189
355	655	1186
356	657	1183
357	658	1180
358	659	1178
359	661	1175
360	662	1172
361	663	1170
362	665	1168
363	667	1166
364	669	1164
365	670	1161
366	672	1159
367	673	1156
368	675	1154
369	676	1151
370	677	1148
371	679	1146
372	681	1145
373	682	1142
374	684	1140
375	686	1139
376	688	1136
377	689	1135
378	691	1132
379	692	1129
380	693	1126
381	695	1124
382	696	1122
383	699	1122
384	701	1120
385	702	1117
386	703	1114
387	705	1112
388	706	1109
389	707	1106
390	709	1105
391	711	1103
392	713	1101
393	714	1099
394	716	1096
395	717	1094
396	718	1091
397	719	1088
398	721	1086
399	722	1083
400	723	1081
401	725	1079
402	727	1078
403	729	1076
404	730	1073
405	732	1071
406	733	1069
407	735	1066
408	736	1064
409	738	1062
410	742	1063
411	743	1061
412	745	1058
413	746	1056
414	747	1054
415	749	1051
416	750	1049
417	752	1048
418	755	1047
419	756	1044
420	758	1042
421	759	1040
422	760	1037
423	761	1035
424	763	1032
425	764	1029
426	765	1027
427	766	1024
428	769	1024
429	771	1023
430	773	1020
431	774	1018
432	776	1016
433	777	1014
434	778	1011
435	780	1009
436	781	1006
437	782	1004
438	784	1003
439	786	1001
440	788	999
441	789	996
442	791	994
443	792	992
444	793	989
445	794	987
446	796	984
447	797	982
448	799	981
449	802	981
450	804	979
451	805	976
452	806	974
453	807	971
454	809	969
455	810	967
456	811	964
457	813	962
458	815	960
459	817	959
460	818	957
461	819	954
462	821	952
463	822	950
464	823	947
465	825	945
466	826	943
467	829	942
468	831	941
469	832	939
470	834	936
471	835	934
472	836	932
473	837	929
474	838	927
475	840	925
476	841	922
477	843	921
478	847	921
479	849	919
480	850	917
481	851	915
482	852	912
483	853	910
484	855	908
485	856	905
486	857	903
487	859	902
488	861	900
489	862	898
490	864	895
491	865	893
492	866	891
493	867	888
494	869	886
495	870	884
496	871	882
497	874	881
498	876	880
499	878	878
500	879	876
501	881	874
502	882	871
503	883	869
504	884	867
505	886	865
506	888	864
507	891	863
508	893	861
509	894	859
510	895	857
511	896	854
512	898	852
513	899	850
514	900	848
515	902	846
516	905	846
517	907	844
518	909	842
519	910	840
520	911	838
521	912	835
522	914	833
523	915	831
524	916	829
525	918	827
526	920	826
527	922	824
528	923	822
529	925	820
530	926	818
531	927	815
532	928	813
533	929	811
534	931	809
535	932	807
536	934	806
537	936	804
538	937	802
539	939	800
540	940	797
541	941	795
542	943	793
543	944	791
544	945	789
545	946	787
546	948	785
547	950	783
548	952	782
549	953	780
550	954	777
551	955	775
552	957	773
553	958	771
554	959	769
555	960	767
556	965	767
557	967	766
558	969	765
559	985	774
560	991	775
561	992	773
562	995	772
563	997	771
564	999	769
565	1000	767
566	1002	765
567	1004	763
568	1006	762
569	1008	761
570	1011	760
571	1013	758
572	1016	757
573	1025	761
574	1030	761
575	1032	760
576	1041	763
577	1043	762
578	1045	760
579	1046	758
580	1048	756
581	1051	754
582	1053	753
583	1055	751
584	1057	750
585	1059	748
586	1060	746
587	1062	744
588	1064	742
589	1066	740
590	1068	739
591	1070	737
592	1072	735
593	1077	736
594	1079	734
595	1081	732
596	1083	731
597	1086	730
598	1088	728
599	1090	727
600	1092	725
601	1094	723
602	1096	721
603	1098	719
604	1102	719
605	1105	718
606	1108	717
607	1111	716
608	1113	714
609	1115	713
610	1117	711
611	1121	710
612	1122	708
613	1125	707
614	1126	705
615	1127	703
616	1129	701
617	1132	699
618	1134	698
619	1136	696
620	1138	695
621	1141	693
622	1143	692
623	1145	690
624	1148	688
625	1150	687
626	1152	685
627	1154	683
628	1156	681
629	1157	679
630	1160	678
631	1164	677
632	1166	676
633	1167	674
634	1169	672
635	1171	670
636	1173	668
637	1175	667
638	1178	666
639	1180	664
640	1184	663
641	1186	661
642	1188	659
643	1192	659
644	1196	658
645	1199	657
646	1201	655
647	1203	653
648	1212	655
649	1214	653
650	1215	651
651	1234	658
652	1240	659
653	1243	657
654	1245	656
655	1247	654
656	1249	652
657	1257	653
658	1259	651
659	1260	649
660	1262	647
661	1268	647
662	1270	645
663	1272	643
664	1273	641
665	1274	639
666	1276	637
667	1278	635
668	1281	634
669	1283	632
670	1284	630
671	1286	627
672	1287	625
673	1289	623
674	1290	621
675	1294	620
676	1296	618
677	1298	616
678	1301	615
679	1303	613
680	1304	611
681	1306	609
682	1309	607
683	1311	605
684	1313	603
685	1314	601
686	1316	599
687	1317	597
688	1319	595
689	1320	593
690	1327	593
691	1329	591
692	1330	589
693	1332	587
694	1333	585
695	1335	583
696	1336	581
697	1339	579
698	1341	577
699	1343	575
700	1345	573
701	1346	571
702	1347	569
703	1349	567
704	1350	565
705	1353	563
706	1355	561
707	1357	559
708	1359	557
709	1360	555
710	1362	553
711	1363	551
712	1364	549
713	1366	547
714	1368	545
715	1370	543
716	1372	541
717	1373	539
718	1374	537
719	1376	535
720	1377	532
721	1378	530
722	1379	528
723	1381	526
724	1382	524
725	1384	522
726	1386	520
727	1387	518
728	1389	516
729	1390	514
730	1391	512
731	1392	509
732	1393	507
733	1395	505
734	1396	503
735	1399	502
736	1401	500
737	1403	498
738	1404	496
739	1405	493
740	1407	491
741	1408	489
742	1409	487
743	1411	485
744	1412	483
745	1415	481
746	1417	479
747	1418	477
748	1419	475
749	1420	473
750	1421	471
751	1422	469
752	1424	467
753	1425	465
754	1426	462
755	1428	460
756	1430	459
757	1432	457
758	1433	455
759	1434	453
760	1436	451
761	1437	449
762	1440	447
763	1441	445
764	1444	443
765	1451	443
766	1453	441
767	1457	440
768	1461	438
769	1462	436
770	1463	434
771	1464	432
772	1466	430
773	1467	428
774	1468	426
775	1469	424
776	1471	422
777	1472	420
778	1473	418
779	1476	416
780	1477	414
781	1478	412
782	1479	410
783	1481	408
784	1482	406
785	1483	403
786	1484	401
787	1485	399
788	1487	397
789	1488	395
790	1490	393
791	1492	391
792	1493	389
793	1494	387
794	1496	385
795	1497	383
796	1498	381
797	1500	379
798	1501	377
799	1503	375
800	1504	373
801	1506	371
802	1507	369
803	1508	367
804	1510	365
805	1511	363
806	1513	361
807	1514	359
808	1515	357
809	1516	355
810	1517	353
811	1519	351
812	1521	349
813	1522	347
814	1524	345
815	1525	343
816	1526	341
817	1527	339
818	1529	337
819	1530	335
820	1531	333
821	1533	331
822	1534	330
823	1536	328
824	1538	326
825	1539	324
826	1540	322
827	1541	320
828	1542	318
829	1544	316
830	1545	314
831	1547	312
832	1548	310
833	1550	308
834	1552	306
835	1553	304
836	1555	302
837	1556	300
838	1557	298
839	1559	296
840	1560	294
841	1561	293
842	1562	291
843	1565	289
844	1566	287
845	1568	285
846	1569	283
847	1570	281
848	1572	279
849	1573	277
850	1574	275
851	1575	273
852	1577	271
853	1578	269
854	1580	268
855	1582	266
856	1584	264
857	1585	262
858	1587	260
859	1588	258
860	1589	256
861	1591	254
862	1592	252
863	1596	251
864	1598	249
865	1600	247
866	1601	245
867	1603	243
868	1604	241
869	1606	240
870	1607	238
871	1608	236
872	1611	234
873	1614	232
874	1615	230
875	1617	228
876	1618	226
877	1619	225
878	1621	223
879	1622	221
880	1624	219
881	1626	217
882	1628	215
883	1629	213
884	1631	211
885	1632	210
886	1633	208
887	1634	206
888	1636	204
889	1637	202
890	1638	200
891	1641	198
892	1642	196
893	1644	194
894	1645	193
895	1646	191
896	1648	189
897	1649	187
898	1651	185
899	1652	183
900	1654	181
901	1657	180
902	1658	178
903	1659	176
904	1661	174
905	1662	172
906	1663	170
907	1664	168
908	1666	166
909	1667	164
910	1668	163
911	1670	161
912	1671	159
913	1673	157
914	1674	155
915	1675	153
916	1676	151
917	1678	149
918	1679	148
919	1680	146
920	1681	144
921	1683	142
922	1684	140
923	1685	138
924	1687	136
925	1688	134
926	1690	133
927	1691	131
928	1693	129
929	1695	127
930	1697	125
931	1698	123
932	1701	122
933	1702	120
934	1704	118
935	1706	116
936	1707	114
937	1708	112
938	1710	111
939	1711	109
940	1712	107
941	1714	105
942	1717	103
943	1719	101
944	1720	100
945	1721	98
946	1723	96
947	1724	94
948	1725	92
949	1726	90
950	1728	89
951	1729	87
952	1731	85
953	1734	83
954	1735	81
955	1737	79
956	1738	78
957	1740	76
958	1741	74
959	1743	72
960	1744	70
961	1746	68
962	1748	67
963	1750	65
964	1752	63
965	1753	61
966	1754	59
967	1755	58
968	1756	56
969	1758	54
970	1759	52
971	1762	50
972	1764	48
973	1766	47
974	1767	45
975	1768	43
976	1769	41
977	1771	39
978	1772	38
979	1774	36
980	1777	34
981	1779	32
982	1781	30
983	1782	28
984	1783	27
985	1784	25
986	1786	23
987	1787	21
988	1789	19
989	1791	18
990	1793	16
991	1795	14
992	1796	12
993	1798	10
994	1799	9
995	1800	7
996	1801	5
997	1802	3
998	1803	1
999	1805	0
